TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
80	5907.62	3976.232	6164.125	6226.6	11165.51	4752.623	15972.609	12586.92	6490.579	7387.499	6817.352	12424.288	8170.436	3005.43	11625.474	6531.148	11763.007	14070.542	10560.895	13404.547	10022.112	2279.297	8022.907	2269.833
81	5994.981	3991.534	6209.013	6658.313	11429.519	4740.712	15996.424	12851.635	6674.536	7323.454	6769.607	12479.253	8031.234	3072.145	11438.581	6565.619	11645.084	14463.896	10483.345	13777.369	9965.31	2340.417	8188.901	2342.527
82	6148.243	4061.723	6340.463	6602.773	11237.183	4552.069	15536.597	13099.81	6807.733	7334.861	6728.156	12478.08	7700.936	3041.717	11441.854	6637.591	11848.074	14800.805	10377.29	13939.16	9960.09	2319.122	8097.197	2359.819
83	6372.416	4107.249	6346.22	6681.597	11438.987	4567	15669.103	13405.518	6942.289	7262.357	6668.188	12465.458	7545.776	3023.715	11285.684	6771.78	12168.406	15014.083	10256.137	14145.001	9892.161	2351.604	8191.436	2406.896
84	6614.459	4197.417	6389.193	6584.951	11385.019	4590.823	15259.57	13710.456	7022.763	7279.729	6583.642	12795.947	7382.07	3031.814	11119.663	6779.431	12357.145	15128.372	10129.578	14207.964	9728.662	2369.315	8187.738	2411.425
85	6844.983	4265.37	6552.498	6577.758	11377.181	4676.012	15125.926	13811.054	7075.532	7226.161	6474.019	13112.355	7217.009	2969.105	11067.559	6874.823	12470.492	14984.952	10025.99	14106.376	9657.251	2300.921	7925.09	2362.784
86	7016.058	4354.662	6569.155	6677.733	11576.919	5004.386	15104.364	13708.887	7099.198	7180.921	6404.315	13201.562	7016.626	2929.377	10833.479	6791.104	12370.285	14727.089	9953.466	13914.868	9550.797	2334.217	7918.116	2414.811
87	7156.005	4393.444	6563.364	6672.465	11298.552	5164.147	15002.83	13563.229	7176.723	7111.783	6333.018	13414.804	6976.576	2992.92	10852.973	6838.596	12360.57	14338.016	9986.861	13658.038	9435.943	2294.754	7791.187	2407.552
88	7241.727	4410.707	6606.896	6548.267	11381.592	5540.893	15110.771	13287.894	7317.317	6974.485	6247.808	13646.619	6866.305	2983.262	10917.463	6918.465	12321.134	14226.32	9955.839	13424.598	9301.58	2282.32	7735.119	2427.423
89	7212.652	4418.25	6580.335	6571.768	11094.515	5614.6	14776.684	13102.21	7444.734	6893.452	6183.201	13693.872	6785.708	3090.782	10844.935	6819.753	11949.875	14047.02	9975.395	13227.479	9180.483	2255.578	7559.669	2426.646
90	7161.125	4356.969	6534.961	6425.83	11187.912	5804.431	14855.843	12774.798	7423.412	6800.416	6163.38	13750.992	6763.944	3183.204	10862.264	6823.673	11892.923	14020.319	9859.784	13050.887	8995.872	2250.372	7496.035	2495.265
91	7058.847	4321.111	6588.758	6422.206	11088.175	5806.486	14518.692	12427.053	7540.9	6706.498	6136.206	13472.729	6715.431	3289.807	10777.003	6787.93	11625.695	14142.047	9800.688	12941.05	8862.145	2218.668	7396.084	2523.798
92	6974.488	4263.7	6585.087	6397.313	11091.342	5773.331	14414.703	12209.315	7633.578	6570.716	6051.384	13584.222	6721.053	3386.384	10805.338	6761.149	11408.931	14304.255	9632.981	12886.577	8635.708	2203.829	7384.46	2575.33
93	6849.718	4184.506	6580.075	6306.021	11097.604	5637.384	14008.525	11977.916	7619.141	6489.196	6023.612	13455.311	6568.928	3448.568	10771.246	6836.379	11446.014	14570.732	9517.556	12900.862	8469.33	2210.362	7408.176	2654.543
94	6775.007	4125.341	6626.304	6308.07	10991.666	5389.745	13699.408	11896.751	7761.715	6378.871	6011.116	13174.494	6481.041	3455.351	10550.621	6768.821	11258.492	14765.177	9332.723	13027.688	8312.331	2193.039	7280.252	2672.953
95	6727.168	4153.084	6554.97	6275.839	11066.697	5291.165	13459.598	11951.747	7832.563	6300.488	5923.903	13037.637	6433.899	3493.144	10298.49	6754.083	11223.573	15183.191	9127.781	13155.965	8181.625	2205.643	7363.349	2700.349
